"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","gene_label","significant"
"ENSSSCT00000074756.2",0.780173269478538,6.11429869339613,4.58876971940145,5.01911831011685e-05,0.795889626475755,-2.19940348724013,"ENSSSCT00000074756.2","ENSSSCG00000010368","GLUD1","GLUD1","Not"
"ENSSSCT00000030602.5",1.10318568645302,6.2846195890908,3.28541899208318,0.00223904420421801,0.999936080199931,-3.12480254510606,"ENSSSCT00000030602.5","ENSSSCG00000030108","ZNFX1","ZNFX1","Not"
"ENSSSCT00000005802.5",0.424595222934435,9.97371240260269,2.85420114128946,0.00703980769139239,0.999936080199931,-3.12734988970612,"ENSSSCT00000005802.5","ENSSSCG00000005267","ANXA1","ANXA1","Not"
"ENSSSCT00000011440.5",0.78810721839654,6.23245100312676,3.1000171159339,0.00369662736668977,0.999936080199931,-3.29576770923945,"ENSSSCT00000011440.5","ENSSSCG00000010454","IFIT5","IFIT5","Not"
"ENSSSCT00000058360.3",2.19342475970235,4.7041767366417,3.61920420634867,0.000881604936630757,0.999936080199931,-3.33256514445933,"ENSSSCT00000058360.3","ENSSSCG00000030408","RIGI","RIGI","Not"
"ENSSSCT00000022376.4",0.884462716551718,7.59250950209073,2.82843137619936,0.00752061214452672,0.999936080199931,-3.33943185500308,"ENSSSCT00000022376.4","ENSSSCG00000055162",NA,"ENSSSCG00000055162","Not"
"ENSSSCT00000089370.2",1.44494479635088,8.19213717499858,2.760902408096,0.00892973766345381,0.999936080199931,-3.35313538525951,"ENSSSCT00000089370.2","ENSSSCG00000012077","MX1","MX1","Not"
"ENSSSCT00000013187.5",0.798883088080413,4.77197013557266,3.34247420805433,0.00191417840334497,0.999936080199931,-3.44740720124625,"ENSSSCT00000013187.5","ENSSSCG00000012055","MORC3","MORC3","Not"
"ENSSSCT00000095040.1",0.292978466005359,4.84018889584463,3.36339368612859,0.00180675821468726,0.999936080199931,-3.45402523887763,"ENSSSCT00000095040.1","ENSSSCG00000010248","KIFBP","KIFBP","Not"
"ENSSSCT00000030027.4",0.418069627648518,4.86589950993361,3.21816861034949,0.00268951365003743,0.999936080199931,-3.52147334648112,"ENSSSCT00000030027.4","ENSSSCG00000027894","FAM76A","FAM76A","Not"
"ENSSSCT00000045514.2",0.585171947547401,6.86522402419537,2.66983724467449,0.0112202358021587,0.999936080199931,-3.57691626362505,"ENSSSCT00000045514.2","ENSSSCG00000003809","JAK1","JAK1","Not"
"ENSSSCT00000080595.2",1.05696511554659,6.21651276461139,2.72138761781406,0.00986439522644032,0.999936080199931,-3.59280304678311,"ENSSSCT00000080595.2","ENSSSCG00000027372","SAMD9","SAMD9","Not"
"ENSSSCT00000016202.5",0.508025688600926,5.77143258815496,2.83227583679079,0.00744698860564226,0.999936080199931,-3.59875957551919,"ENSSSCT00000016202.5","ENSSSCG00000014850","SPCS2","SPCS2","Not"
"ENSSSCT00000091345.2",0.571818534792738,6.6958072297793,2.61867503362999,0.0127343858950314,0.999936080199931,-3.62460488865956,"ENSSSCT00000091345.2","ENSSSCG00000017614","TRIM25","TRIM25","Not"
"ENSSSCT00000048595.2",1.29911898684319,4.43961324764037,3.1441345040924,0.00328467892418363,0.999936080199931,-3.62985471927162,"ENSSSCT00000048595.2","ENSSSCG00000017146",NA,"ENSSSCG00000017146","Not"
"ENSSSCT00000088468.1",0.872947932343813,5.14111143218032,2.92216083076573,0.00590608007865486,0.999936080199931,-3.65104317632744,"ENSSSCT00000088468.1","ENSSSCG00000011710","EIF2A","EIF2A","Not"
"ENSSSCT00000086037.2",0.600508646326085,5.12580368906226,2.9494593567118,0.0055008264596986,0.999936080199931,-3.65505387948751,"ENSSSCT00000086037.2","ENSSSCG00000033424","PARL","PARL","Not"
"ENSSSCT00000055212.2",1.7943779820931,6.51393607870609,2.59564253224712,0.0134756788776245,0.999936080199931,-3.65654981837768,"ENSSSCT00000055212.2","ENSSSCG00000012076","MX2","MX2","Not"
"ENSSSCT00000048370.3",1.55976459327048,5.64342499681081,2.77112487392747,0.00870171183972501,0.999936080199931,-3.65785603464356,"ENSSSCT00000048370.3","ENSSSCG00000030408","RIGI","RIGI","Not"
"ENSSSCT00000068162.1",0.810022626985223,4.48762551227191,3.05796527855301,0.00413441033220658,0.999936080199931,-3.6701174972541,"ENSSSCT00000068162.1","ENSSSCG00000006525",NA,"ENSSSCG00000006525","Not"
"ENSSSCT00000045239.3",0.849808849740087,3.64211996391817,3.81164341109015,0.000507458420798769,0.999936080199931,-3.67159076657753,"ENSSSCT00000045239.3","ENSSSCG00000011236","CLASP2","CLASP2","Not"
"ENSSSCT00000015403.5",0.569072520347373,4.82257338113881,2.99584060806709,0.00487158339762802,0.999936080199931,-3.67933561205993,"ENSSSCT00000015403.5","ENSSSCG00000014101","AP3B1","AP3B1","Not"
"ENSSSCT00000015371.5",1.22134775727927,5.64151772904583,2.80963483697392,0.00789045457195888,0.999936080199931,-3.68533658696756,"ENSSSCT00000015371.5","ENSSSCG00000014071","BTF3","BTF3","Not"
"ENSSSCT00000047341.3",0.570871618882191,5.52108308509366,2.75406841666365,0.00908526359366415,0.999936080199931,-3.70621856276435,"ENSSSCT00000047341.3","ENSSSCG00000000849","HSP90B1","HSP90B1","Not"
"ENSSSCT00000022785.3",0.391690585229438,6.37131283611196,2.53566348340493,0.0155961004228873,0.999936080199931,-3.72387015699736,"ENSSSCT00000022785.3","ENSSSCG00000020666","EHD4","EHD4","Not"
"ENSSSCT00000011439.5",2.27432342998101,5.06117826939955,2.8873398851798,0.00646369120990187,0.999936080199931,-3.74717660974988,"ENSSSCT00000011439.5","ENSSSCG00000010452","IFIT1","IFIT1","Not"
"ENSSSCT00000107664.1",0.8343103887798,6.55289163781835,2.48465070833844,0.0176354721166958,0.999936080199931,-3.75827041178244,"ENSSSCT00000107664.1","ENSSSCG00000011243","GOLGA4","GOLGA4","Not"
"ENSSSCT00000011438.5",1.92201245893993,6.59523684603085,2.48755456729272,0.0175131460723732,0.999936080199931,-3.76562885202584,"ENSSSCT00000011438.5","ENSSSCG00000061268","IFIT3","IFIT3","Not"
"ENSSSCT00000041460.3",0.396183504407697,5.15447181778769,2.73336188782944,0.00957199379580069,0.999936080199931,-3.77263905809777,"ENSSSCT00000041460.3","ENSSSCG00000003772","ZZZ3","ZZZ3","Not"
"ENSSSCT00000047478.3",0.513241187627841,5.55999511448449,2.65403661440459,0.0116691115414688,0.999936080199931,-3.78254011547505,"ENSSSCT00000047478.3","ENSSSCG00000035842","SUMO1","SUMO1","Not"
"ENSSSCT00000019676.1",-0.426661415847407,12.0850578686205,-2.14854671397848,0.0383080765777623,0.999936080199931,-3.79626906007359,"ENSSSCT00000019676.1","ENSSSCG00000018081","ATP6","ATP6","Not"
"ENSSSCT00000046783.2",1.74968340092173,7.43884612821049,2.34421257517663,0.0245664738978149,0.999936080199931,-3.79743774470552,"ENSSSCT00000046783.2","ENSSSCG00000040575","ISG15","ISG15","Not"
"ENSSSCT00000056368.2",0.663256307458973,3.8540965437606,3.35788424409454,0.00183447596881598,0.999936080199931,-3.80951309227558,"ENSSSCT00000056368.2","ENSSSCG00000030443","INTS13","INTS13","Not"
"ENSSSCT00000100177.1",0.578797419254383,4.59425742550934,2.84356219127661,0.00723471686367073,0.999936080199931,-3.80951574777618,"ENSSSCT00000100177.1","ENSSSCG00000003398","UBE4B","UBE4B","Not"
"ENSSSCT00000039937.2",0.513480782865033,5.44283827734973,2.57983693032165,0.0140071208718717,0.999936080199931,-3.8128125440444,"ENSSSCT00000039937.2","ENSSSCG00000016512","ZC3HAV1","ZC3HAV1","Not"
"ENSSSCT00000022741.4",0.349028107915692,4.98318308010746,2.72760558491302,0.00971153929433102,0.999936080199931,-3.81503322485618,"ENSSSCT00000022741.4","ENSSSCG00000011004","TOPORS","TOPORS","Not"
"ENSSSCT00000064754.3",0.290674203035535,6.98555625880868,2.36128056491852,0.023609419223838,0.999936080199931,-3.8167241107671,"ENSSSCT00000064754.3","ENSSSCG00000009047","SMARCA5","SMARCA5","Not"
"ENSSSCT00000053126.3",0.632067519661677,8.41080159172343,2.25014210415402,0.0304960361722082,0.999936080199931,-3.81724002255361,"ENSSSCT00000053126.3","ENSSSCG00000016057","STAT1","STAT1","Not"
"ENSSSCT00000095787.1",-0.406280882483794,6.08898965817666,-2.46734686865665,0.0183807013312593,0.999936080199931,-3.81889053500587,"ENSSSCT00000095787.1","ENSSSCG00000013062","MTA2","MTA2","Not"
"ENSSSCT00000011192.4",0.487885196900045,5.99850199984515,2.47862001041284,0.0178920109885109,0.999936080199931,-3.81895962874153,"ENSSSCT00000011192.4","ENSSSCG00000010226","JMJD1C","JMJD1C","Not"
"ENSSSCT00000070957.2",0.974033341725924,5.37443591478685,2.5563488665087,0.0148325082220946,0.999936080199931,-3.82622704124309,"ENSSSCT00000070957.2","ENSSSCG00000036383","LGALS3BP","LGALS3BP","Not"
"ENSSSCT00000026305.4",0.245877967689003,4.38573877122493,2.92684998481464,0.00583453239837302,0.999936080199931,-3.82754178190536,"ENSSSCT00000026305.4","ENSSSCG00000021802","ABHD17B","ABHD17B","Not"
"ENSSSCT00000014539.4",0.374460449420631,5.56704719203585,2.52502947680259,0.0160025088448843,0.999936080199931,-3.82888001677197,"ENSSSCT00000014539.4","ENSSSCG00000013313","PRRG4","PRRG4","Not"
"ENSSSCT00000074763.1",0.937288746849318,4.78418932680086,2.77959706339051,0.00851684478439916,0.999936080199931,-3.831650820245,"ENSSSCT00000074763.1","ENSSSCG00000011942","CD47","CD47","Not"
"ENSSSCT00000008223.4",1.83674676643337,4.51619818016401,2.87692153932172,0.0066398782996979,0.999936080199931,-3.83995622304419,"ENSSSCT00000008223.4","ENSSSCG00000007508","ZBP1","ZBP1","Not"
"ENSSSCT00000049631.3",0.325892717234574,6.15833727470489,2.41805915945462,0.0206632466509108,0.999936080199931,-3.84267218530095,"ENSSSCT00000049631.3","ENSSSCG00000005060","KTN1","KTN1","Not"
"ENSSSCT00000089601.2",0.986050995686354,5.3185852861534,2.66648874036833,0.0113140085084054,0.999936080199931,-3.84333405595193,"ENSSSCT00000089601.2","ENSSSCG00000015443","DLD","DLD","Not"
"ENSSSCT00000049924.3",0.425795340978166,4.84013120184328,2.72315890348638,0.00982062609165058,0.999936080199931,-3.84736808229829,"ENSSSCT00000049924.3","ENSSSCG00000030423","MIER1","MIER1","Not"
"ENSSSCT00000035898.3",1.57669286826752,6.0427814019757,2.43955504139673,0.0196378362532491,0.999936080199931,-3.84827754374785,"ENSSSCT00000035898.3","ENSSSCG00000010451","IFIT2","IFIT2","Not"
"ENSSSCT00000101952.1",0.45555089748201,5.46122957315457,2.51389328427559,0.0164384778204554,0.999936080199931,-3.8530354611669,"ENSSSCT00000101952.1","ENSSSCG00000053078","TDRD7","TDRD7","Not"
"ENSSSCT00000052400.3",0.259010044622601,7.31419072637517,2.28765953153654,0.0279925380898011,0.999936080199931,-3.85339833070645,"ENSSSCT00000052400.3","ENSSSCG00000034261","TMEM59","TMEM59","Not"
"ENSSSCT00000051420.3",1.077483094938,4.67613127230416,2.72659756332486,0.00973616928716052,0.999936080199931,-3.85572392941655,"ENSSSCT00000051420.3","ENSSSCG00000009473","MYCBP2","MYCBP2","Not"
"ENSSSCT00000035848.5",0.728489164104381,4.80477353600407,2.66077790845927,0.0114756090432082,0.999936080199931,-3.86207320299864,"ENSSSCT00000035848.5","ENSSSCG00000001341",NA,"ENSSSCG00000001341","Not"
"ENSSSCT00000087489.2",0.847631297399188,4.28448886662925,2.93256374613812,0.00574845018864991,0.999936080199931,-3.86573091786901,"ENSSSCT00000087489.2","ENSSSCG00000030197","CD2AP","CD2AP","Not"
"ENSSSCT00000059795.2",0.332788349322215,8.87660154823141,2.17022044642659,0.0365065066159301,0.999936080199931,-3.86727155914709,"ENSSSCT00000059795.2","ENSSSCG00000036723","EMP1","EMP1","Not"
"ENSSSCT00000056735.2",0.899266444077027,5.35501413764287,2.57150763381597,0.0142948659658414,0.999936080199931,-3.86993955222096,"ENSSSCT00000056735.2","ENSSSCG00000038730","ITPRID2","ITPRID2","Not"
"ENSSSCT00000072229.2",-0.627649558028966,4.73192695958763,-2.72941016755093,0.00966759043441273,0.999936080199931,-3.87351623022134,"ENSSSCT00000072229.2","ENSSSCG00000006232","RAB2A","RAB2A","Not"
"ENSSSCT00000038794.3",0.637913021863561,6.10547653477026,2.3957494134286,0.0217786418757875,0.999936080199931,-3.87811715616503,"ENSSSCT00000038794.3","ENSSSCG00000015710","ACTR3","ACTR3","Not"
"ENSSSCT00000056878.3",-0.465075803000191,5.59870767964546,-2.4532450649854,0.0190091229764634,0.999936080199931,-3.8805622004188,"ENSSSCT00000056878.3","ENSSSCG00000013256","ARHGAP1","ARHGAP1","Not"
"ENSSSCT00000063306.3",0.304526467913374,4.85538904530586,2.65491584352606,0.0116437043652928,0.999936080199931,-3.8879358503655,"ENSSSCT00000063306.3","ENSSSCG00000011530","CRBN","CRBN","Not"
"ENSSSCT00000059486.2",0.800859997966589,3.72834139876952,3.20078632273745,0.00281926828533347,0.999936080199931,-3.8893197821157,"ENSSSCT00000059486.2","ENSSSCG00000010628","SHOC2","SHOC2","Not"
"ENSSSCT00000012988.4",1.3085479886358,5.39107429862128,2.44597859946616,0.0193405172481502,0.999936080199931,-3.89915633090287,"ENSSSCT00000012988.4","ENSSSCG00000011874","PARP14","PARP14","Not"
"ENSSSCT00000032275.4",2.48634808623823,3.38708068656051,4.7625921282318,2.95196744315321e-05,0.795889626475755,-3.90393961247999,"ENSSSCT00000032275.4","ENSSSCG00000024864","ATXN10","ATXN10","Not"
"ENSSSCT00000074988.3",0.419384782900991,5.96371818117004,2.33209849624473,0.0252668291980937,0.999936080199931,-3.90864755929132,"ENSSSCT00000074988.3","ENSSSCG00000001233","TRIM26","TRIM26","Not"
"ENSSSCT00000026593.4",0.392108053340901,5.18285447922214,2.49080507422394,0.0173771360802603,0.999936080199931,-3.91350192732877,"ENSSSCT00000026593.4","ENSSSCG00000004958","PIAS1","PIAS1","Not"
"ENSSSCT00000049433.2",0.42021652829439,5.67179840166344,2.3705139779156,0.0231058280614579,0.999936080199931,-3.91679413023634,"ENSSSCT00000049433.2","ENSSSCG00000035634","PLSCR1","PLSCR1","Not"
"ENSSSCT00000024911.4",0.76096904231188,4.57840030906251,2.72604932931483,0.00974958914666213,0.999936080199931,-3.91772056797076,"ENSSSCT00000024911.4","ENSSSCG00000022952","NMD3","NMD3","Not"
"ENSSSCT00000079321.2",0.495456247479247,4.28648274431311,2.80801928370113,0.00792302123980573,0.999936080199931,-3.91848021277905,"ENSSSCT00000079321.2","ENSSSCG00000001973","SCFD1","SCFD1","Not"
"ENSSSCT00000002508.7",0.294818704728271,5.11800420859663,2.48799289701608,0.0174947486827405,0.999936080199931,-3.92352615758315,"ENSSSCT00000002508.7","ENSSSCG00000002252","ARRDC4","ARRDC4","Not"
"ENSSSCT00000060965.3",0.907025999508915,4.42271502844484,2.80433712777747,0.00799771566692365,0.999936080199931,-3.9272698639434,"ENSSSCT00000060965.3","ENSSSCG00000011963","TOMM70","TOMM70","Not"
"ENSSSCT00000070441.2",0.914198493619329,5.76788411254729,2.39172017047142,0.0219858078428098,0.999936080199931,-3.92823829921224,"ENSSSCT00000070441.2","ENSSSCG00000013391","PSMA1","PSMA1","Not"
"ENSSSCT00000048887.3",0.327055436324628,6.3350855695964,2.27441263377839,0.0288546260512475,0.999936080199931,-3.93525219764577,"ENSSSCT00000048887.3","ENSSSCG00000010260","SAR1A","SAR1A","Not"
"ENSSSCT00000087997.2",0.525677203529539,4.11460550868381,2.8615492584765,0.00690806465405455,0.999936080199931,-3.93530152546045,"ENSSSCT00000087997.2","ENSSSCG00000028113","CAPZA2","CAPZA2","Not"
"ENSSSCT00000039550.3",0.48770114914188,4.63947571535773,2.63900453965739,0.012111488704195,0.999936080199931,-3.93592583507162,"ENSSSCT00000039550.3","ENSSSCG00000030413","PIK3CA","PIK3CA","Not"
"ENSSSCT00000078182.2",0.863247851703576,4.70029376707446,2.60114189686022,0.0132951616533294,0.999936080199931,-3.93617562139849,"ENSSSCT00000078182.2","ENSSSCG00000002002","IRF9","IRF9","Not"
"ENSSSCT00000005226.4",0.298444966921388,6.41983431591741,2.26600075488884,0.0294143354007514,0.999936080199931,-3.93654412803419,"ENSSSCT00000005226.4","ENSSSCG00000004730","TMEM87A","TMEM87A","Not"
"ENSSSCT00000063887.3",-0.259704308749046,5.32590701011461,-2.42423422763747,0.020363813355686,0.999936080199931,-3.93776879082366,"ENSSSCT00000063887.3","ENSSSCG00000035221","ENTR1","ENTR1","Not"
"ENSSSCT00000058306.3",0.410620721018615,5.23738605315519,2.47525698333006,0.0180365437249866,0.999936080199931,-3.93854145113205,"ENSSSCT00000058306.3","ENSSSCG00000023118","BZW2","BZW2","Not"
"ENSSSCT00000017295.5",0.550468294304309,5.94276592474404,2.32544801185781,0.0256589172232577,0.999936080199931,-3.9396621986637,"ENSSSCT00000017295.5","ENSSSCG00000015883","MARCHF7","MARCHF7","Not"
"ENSSSCT00000056449.3",0.33480846383168,6.08935471430025,2.27849652060682,0.0285863493253681,0.999936080199931,-3.94208836676663,"ENSSSCT00000056449.3","ENSSSCG00000025206","RNF19B","RNF19B","Not"
"ENSSSCT00000052687.3",0.378067121106818,5.60027811802004,2.37554166659561,0.0228357187750804,0.999936080199931,-3.9443233687368,"ENSSSCT00000052687.3","ENSSSCG00000000522","NAP1L1","NAP1L1","Not"
"ENSSSCT00000058535.3",0.333731796974364,5.8592717557148,2.31369837726954,0.0263650397236538,0.999936080199931,-3.94480731153472,"ENSSSCT00000058535.3","ENSSSCG00000004110","TAB2","TAB2","Not"
"ENSSSCT00000007277.5",0.252795058744366,5.2727206212926,2.41451011471696,0.0208371449478105,0.999936080199931,-3.94619101202688,"ENSSSCT00000007277.5","ENSSSCG00000006641","PRUNE1","PRUNE1","Not"
"ENSSSCT00000063498.3",2.34700777782561,4.32836788602721,3.06522222722811,0.00405552041181253,0.999936080199931,-3.94682619589996,"ENSSSCT00000063498.3","ENSSSCG00000009881","OAS2","OAS2","Not"
"ENSSSCT00000012306.5",0.704315222705841,6.70521290827517,2.19392331411067,0.0346226626035331,0.999936080199931,-3.95450799146746,"ENSSSCT00000012306.5","ENSSSCG00000011239","TRANK1","TRANK1","Not"
"ENSSSCT00000064682.3",0.464599849905071,3.95708105107103,2.93798773318673,0.00566783760766192,0.999936080199931,-3.95625996327717,"ENSSSCT00000064682.3","ENSSSCG00000030478",NA,"ENSSSCG00000030478","Not"
"ENSSSCT00000009580.5",0.329638921548113,7.10081429831162,2.16179580218092,0.0371976606354373,0.999936080199931,-3.9631842874738,"ENSSSCT00000009580.5","ENSSSCG00000008756","DHX15","DHX15","Not"
"ENSSSCT00000005859.5",-0.230372854922058,4.70780903945319,-2.52848117777388,0.0158695421216891,0.999936080199931,-3.96860174652732,"ENSSSCT00000005859.5","ENSSSCG00000005320","RGP1","RGP1","Not"
"ENSSSCT00000005076.5",0.589857806350597,5.53573450267012,2.32703097384518,0.0255650980461139,0.999936080199931,-3.96950323237361,"ENSSSCT00000005076.5","ENSSSCG00000004595","ADAM10","ADAM10","Not"
"ENSSSCT00000045035.3",0.226036821637594,5.99097971679149,2.26485760063626,0.0294911442566226,0.999936080199931,-3.96956973374688,"ENSSSCT00000045035.3","ENSSSCG00000037653","RAB5A","RAB5A","Not"
"ENSSSCT00000056725.2",0.251487716115775,6.04219741161613,2.25255057811831,0.0303294988343423,0.999936080199931,-3.97166072595879,"ENSSSCT00000056725.2","ENSSSCG00000010836","BROX","BROX","Not"
"ENSSSCT00000022577.5",0.76091334395433,6.75045151719852,2.16038804890412,0.037314276035535,0.999936080199931,-3.97336989165389,"ENSSSCT00000022577.5","ENSSSCG00000030108","ZNFX1","ZNFX1","Not"
"ENSSSCT00000096805.1",0.308984274340954,5.404307220609,2.36459180678348,0.0234276947262397,0.999936080199931,-3.97378416164029,"ENSSSCT00000096805.1","ENSSSCG00000028646","MMADHC","MMADHC","Not"
"ENSSSCT00000099492.1",0.548734654479551,4.85421309922452,2.48279008368159,0.0177142607530154,0.999936080199931,-3.97645311245628,"ENSSSCT00000099492.1","ENSSSCG00000000457","USP15","USP15","Not"
"ENSSSCT00000052541.2",0.837338171287886,5.71409046589982,2.33568399371752,0.0250576882549302,0.999936080199931,-3.97646889466109,"ENSSSCT00000052541.2","ENSSSCG00000009407","ESD","ESD","Not"
"ENSSSCT00000030484.4",0.29175720362509,5.90521895853242,2.25737018857515,0.0299986801900655,0.999936080199931,-3.9771971268981,"ENSSSCT00000030484.4","ENSSSCG00000015310","AKAP9","AKAP9","Not"
"ENSSSCT00000102228.1",0.245816893219065,4.45333395673534,2.61498750553494,0.01285048584123,0.999936080199931,-3.97943756267509,"ENSSSCT00000102228.1","ENSSSCG00000022222","MTX2","MTX2","Not"
"ENSSSCT00000039021.3",-0.329118064888471,5.94737897835212,-2.24682430819632,0.0307267885849254,0.999936080199931,-3.98615158943864,"ENSSSCT00000039021.3","ENSSSCG00000033689","GPS1","GPS1","Not"
"ENSSSCT00000034217.3",1.46697784760868,3.2577368435904,3.12919032407251,0.00341908885226685,0.999936080199931,-3.98685414430462,"ENSSSCT00000034217.3","ENSSSCG00000008496","EIF2AK2","EIF2AK2","Not"
"ENSSSCT00000048712.2",1.29003705120823,6.66845473809068,2.15359967962845,0.0378811690724268,0.999936080199931,-3.98983543771004,"ENSSSCT00000048712.2","ENSSSCG00000017754",NA,"ENSSSCG00000017754","Not"
"ENSSSCT00000082379.2",0.249137628286737,5.99316778553272,2.22558140910093,0.0322415583264082,0.999936080199931,-3.99128927264432,"ENSSSCT00000082379.2","ENSSSCG00000004480","COX7A2","COX7A2","Not"
"ENSSSCT00000073768.2",0.291288963870244,5.30827816861138,2.33041623157752,0.0253654960781368,0.999936080199931,-3.99133308985523,"ENSSSCT00000073768.2","ENSSSCG00000024623","USP25","USP25","Not"
"ENSSSCT00000053404.3",-0.714112248465235,4.21158469954496,-2.67354157865978,0.0111173355224831,0.999936080199931,-3.99419567765922,"ENSSSCT00000053404.3","ENSSSCG00000007568","IQCE","IQCE","Not"
"ENSSSCT00000107826.1",0.385509480380395,5.59173087355416,2.26724411606429,0.0293309970165039,0.999936080199931,-3.99463677791257,"ENSSSCT00000107826.1","ENSSSCG00000001410","BAG6","BAG6","Not"
"ENSSSCT00000042310.3",0.315094530707972,6.43128054160189,2.16933982181635,0.0365782158006725,0.999936080199931,-3.99497676527236,"ENSSSCT00000042310.3","ENSSSCG00000029518","RIOK3","RIOK3","Not"
"ENSSSCT00000006158.4",0.248070468821718,5.63924343318965,2.27814636860981,0.0286092633954788,0.999936080199931,-3.99604002719986,"ENSSSCT00000006158.4","ENSSSCG00000005600","PPP6C","PPP6C","Not"
"ENSSSCT00000010266.4",0.328881209488809,4.58631917754182,2.535926392736,0.0155861733944739,0.999936080199931,-3.99911903608853,"ENSSSCT00000010266.4","ENSSSCG00000009369","COG6","COG6","Not"
"ENSSSCT00000070960.1",-0.861311633818693,3.57258137561035,-3.22289510026238,0.00265522569792026,0.999936080199931,-3.99977440725833,"ENSSSCT00000070960.1","ENSSSCG00000013775","ADGRE5","ADGRE5","Not"
"ENSSSCT00000010489.5",0.594504262343807,4.41284581343842,2.62281420031434,0.0126052177393709,0.999936080199931,-4.00149370960388,"ENSSSCT00000010489.5","ENSSSCG00000009568","ZMYM5","ZMYM5","Not"
"ENSSSCT00000045690.2",0.497212535159266,6.37922646754083,2.15603901804274,0.0376765893882853,0.999936080199931,-4.0026809154113,"ENSSSCT00000045690.2","ENSSSCG00000006418",NA,"ENSSSCG00000006418","Not"
"ENSSSCT00000071598.2",0.229926935739987,6.72129749185625,2.13614036282181,0.0393743518370038,0.999936080199931,-4.00383668731224,"ENSSSCT00000071598.2","ENSSSCG00000010290","MCU","MCU","Not"
"ENSSSCT00000014709.3",-0.536406221116724,4.04338038392026,-2.7733307540743,0.00865322241354523,0.999936080199931,-4.00594478188348,"ENSSSCT00000014709.3","ENSSSCG00000013464","SPPL2B","SPPL2B","Not"
"ENSSSCT00000011093.5",-0.460758035142602,4.24081828214871,-2.6319686973633,0.0123238160214988,0.999936080199931,-4.00656866402638,"ENSSSCT00000011093.5","ENSSSCG00000010132","COMT","COMT","Not"
"ENSSSCT00000019229.4",0.542395346301806,5.71191348225358,2.23738711593385,0.0313916992397,0.999936080199931,-4.01346076746677,"ENSSSCT00000019229.4","ENSSSCG00000017665","DHX40","DHX40","Not"
"ENSSSCT00000045724.3",0.68859331472699,6.61146611968804,2.10392796985467,0.0422662249417632,0.999936080199931,-4.02612878733134,"ENSSSCT00000045724.3","ENSSSCG00000005724","SETX","SETX","Not"
"ENSSSCT00000061870.3",0.592260598545381,5.47683022530786,2.24705138723328,0.0307109456500707,0.999936080199931,-4.02631061121309,"ENSSSCT00000061870.3","ENSSSCG00000008397","EFEMP1","EFEMP1","Not"
"ENSSSCT00000016021.6",1.04641991884211,6.46209513506231,2.11448228397116,0.0412987385297329,0.999936080199931,-4.02765051934476,"ENSSSCT00000016021.6","ENSSSCG00000014670",NA,"ENSSSCG00000014670","Not"
"ENSSSCT00000085535.1",0.330931774146964,4.23093594903413,2.61344058850314,0.0128994793330621,0.999936080199931,-4.02842390838341,"ENSSSCT00000085535.1","ENSSSCG00000002050","DAD1","DAD1","Not"
"ENSSSCT00000059095.3",0.448764088149364,5.70965228444804,2.20234212513201,0.0339746522171111,0.999936080199931,-4.02865559821215,"ENSSSCT00000059095.3","ENSSSCG00000014802","NUMA1","NUMA1","Not"
"ENSSSCT00000064308.3",0.300016109803143,7.377166779885,2.05741346852771,0.0467716981725714,0.999936080199931,-4.02867280544223,"ENSSSCT00000064308.3","ENSSSCG00000016094","BZW1","BZW1","Not"
"ENSSSCT00000054517.2",0.296356166976899,5.80332383506174,2.18875357539783,0.0350260108590242,0.999936080199931,-4.03003465489039,"ENSSSCT00000054517.2","ENSSSCG00000011628","DNAJC13","DNAJC13","Not"
"ENSSSCT00000016659.4",0.239047932263939,4.68079396427165,2.42788586092822,0.0201886021449139,0.999936080199931,-4.03081859843032,"ENSSSCT00000016659.4","ENSSSCG00000015288","RBBP5","RBBP5","Not"
"ENSSSCT00000007675.5",0.992112963249101,6.77453596534185,2.09867141891192,0.0427554834493975,0.999936080199931,-4.03145305997053,"ENSSSCT00000007675.5","ENSSSCG00000007007","IDO1","IDO1","Not"
"ENSSSCT00000074093.2",0.384740173745061,4.77576321416891,2.38842158532599,0.0221567331497019,0.999936080199931,-4.03751148428249,"ENSSSCT00000074093.2","ENSSSCG00000029380","ZFP2","ZFP2","Not"
"ENSSSCT00000058117.2",-0.757155503789361,4.55154079738293,-2.49355840542914,0.0172626841485961,0.999936080199931,-4.04702661017543,"ENSSSCT00000058117.2","ENSSSCG00000014850","SPCS2","SPCS2","Not"
"ENSSSCT00000026755.3",0.393062182675205,4.61403525973208,2.41040829433534,0.0210397817092602,0.999936080199931,-4.04937163812122,"ENSSSCT00000026755.3","ENSSSCG00000014081","CERT1","CERT1","Not"
"ENSSSCT00000066841.2",0.884198890348222,3.84558088576625,2.77845538720025,0.00854154185208318,0.999936080199931,-4.05003426072233,"ENSSSCT00000066841.2","ENSSSCG00000038907","DNAJC8","DNAJC8","Not"
"ENSSSCT00000102508.1",0.481050680069192,4.38642343990357,2.47199224219213,0.0181778697525792,0.999936080199931,-4.05194823718529,"ENSSSCT00000102508.1","ENSSSCG00000035034","CNIH4","CNIH4","Not"
"ENSSSCT00000054937.1",1.30123531062422,5.94974187188834,2.13169134147386,0.039763068716012,0.999936080199931,-4.05393077212446,"ENSSSCT00000054937.1","ENSSSCG00000021712","HERC6","HERC6","Not"
